,Latency (s),,,,,,,,,
Load (MB/s),HoneyBadger,Dispersed Ladger,Proposed Approach,,,,Node,Throughput (MB/s),,
2,0.804,0.8,0.322,,,,,HoneyBadger,DispersedLedger,Proposed Apporach
4,0.805,0.81,0.333,,,,1,18,34,50
4,0.806,0.81,0.34,,,,2,18,35,50
6,0.74,0.75,0.34,,,,3,18,31.5,50
7,0.8,0.77,0.35,,,,4,18,34,50
8,1.1,0.76,0.366,,,,5,18,38,50
9,1.3,0.75,0.366,,,,6,18,28,50
11,1.71,0.79,0.37,,,,7,18,43,50
12,1.74,0.81,0.37,,,,8,18.5,34,50
14,1.88,0.85,0.37,,,,9,19,36,50
15,1.98,0.93,0.38,,,,10,18,41,50
16,2.12,0.95,0.38,,,,11,18,36,50
18,2.38,1.2,0.38,,,,12,15,29,50
19,2.6,1.3,0.39,,,,13,18,38,50
20,2.7,1.4,0.4,,,,14,18,43,50
22,2.8,1.4,0.4,,,,15,18,35,50
23,2.9,1.5,0.4,,,,16,18,38,50
24,3.4,1.5,0.5,,,,,,,
24,4.2,1.5,0.6,,,,,,,
24,4.6,1.5,0.7,,,,,,,
24,5.3,1.5,0.7,,,,,,,
24,5.9,1.5,0.75,,,,,,,
24,6.5,1.5,0.77,,,,,,,
24,7.1,1.5,0.8,,,,,,,
25,7.6,1.5,0.85,,,,,,,
25,8.1,1.5,0.85,,,,,,,
25,8.8,1.5,0.88,,,,,,,
25,9.3,1.5,0.88,,,,,,,
